"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr22285","Kings Park Botanical Gardens","10.15468/nh3vyu","Kings Park and Botanic Garden Herbarium, Botanic Gardens and Parks Authority","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr22285","","","","266"
"dr26650","Auckland Museum Botany Collection","","Records provided by Auckland Museum Botany Collection, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr26650","","","","5120"
"dr794","Weed and native flora data for the Swan Coastal Plain","10.15468/h7wbjz","Weed and native flora data for the Swan Coastal Plain","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access

All users need to acknowledge and agree to the following conditions before using NatureMap content:

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data.

Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC).

Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here.

Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.)

My username and password will not be passed on to any other person or organisation.

DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with.

I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level.

Also note:

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets

It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis.

Fair Use Guidlines

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data.

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap.

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with.

Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law.

Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC.

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr794","","","","1189"
"dr797","Whicher Scarp Flora Survey","10.15468/g9znop","Whicher Scarp Flora Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access

All users need to acknowledge and agree to the following conditions before using NatureMap content:

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data.

Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC).

Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here.

Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.)

My username and password will not be passed on to any other person or organisation.

DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with.

I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level.

Also note:

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets

It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis.

Fair Use Guidlines

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data.

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap.

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with.

Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law.

Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC.

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr797","","","","316"
"dr26642","WELT Herbarium at Museum of New Zealand Te Papa Tongarewa","10.15468/vabtex","Records provided by WELT Herbarium at Museum of New Zealand Te Papa Tongarewa, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr26642","","","","4632"
"dr670","Ravensthorpe Range survey data  ","10.15468/xy591j","Ravensthorpe Range Survey Data.  NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/
","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access 

All users need to acknowledge and agree to the following conditions before using NatureMap content: 

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. 
Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). 
Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. 
Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) 
My username and password will not be passed on to any other person or organisation. 
DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. 
I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. 
Also note: 

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets 
It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. 
Fair Use Guidlines 

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. 

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. 

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. 
Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. 
Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. 

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr670","","","","44"
"dr791","Records of the WA Seed Technology Centre","10.15468/qfmilu","Kings Park and Botanic Garden - Western Australian Seed Technology Centre","CC-BY","For more information: https://collections.ala.org.au/public/show/dr791","","","","18"
"dr672","Swan Coastal Plain Survey   ","10.15468/zllujp","Swan Coastal Plain Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/
","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access 

All users need to acknowledge and agree to the following conditions before using NatureMap content: 

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. 
Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). 
Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. 
Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) 
My username and password will not be passed on to any other person or organisation. 
DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. 
I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. 
Also note: 

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets 
It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. 
Fair Use Guidlines 

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. 

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. 

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. 
Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. 
Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. 

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr672","","","","801"
"dr671","Banded Iron Formation and Greenstone survey data","10.15468/jnetji","Banded Iron Formation and Greenstone survey data. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/
","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access 

All users need to acknowledge and agree to the following conditions before using NatureMap content: 

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. 
Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). 
Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. 
Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) 
My username and password will not be passed on to any other person or organisation. 
DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. 
I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. 
Also note: 

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets 
It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. 
Fair Use Guidlines 

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. 

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. 

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. 
Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. 
Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. 

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr671","","","","195"
"dp29","Flickr","","Records provided by Flickr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp29","","","","976"
"dp27","Littlewood","","Records provided by Littlewood, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp27","","","","3"
